FIFA Rank,Country
1,Germany
2,Italy
3,Switzerland
4,Sweden
5,Argentina
6,Republic of Ireland
7,Russia
8,Brazil
9,Norway
10,Denmark
11,England
12,France
13,Spain
14,Mexico
15,RCS
16,Netherlands
17,Nigeria
18,Belgium
19,Colombia
20,Poland
21,Romania
22,Uruguay
23,Portugal
24,Cameroon
25,Zambia
26,Egypt
27,Wales
28,USA
29,Côte d'Ivoire
30,Scotland
31,Tunisia
32,Greece
33,Morocco
34,Algeria
35,Ecuador
36,Korea Republic
37,Bulgaria
38,Austria
39,Costa Rica
40,Northern Ireland
41,Honduras
42,Hungary
43,Japan
44,Saudi Arabia
45,China PR
46,Canada
47,Finland
48,Ghana
49,Chile
50,Zimbabwe
51,Qatar
52,Australia
53,Iceland
54,IR Iran
55,United Arab Emirates
56,Yugoslavia
57,Iraq
58,Senegal
59,Bolivia
60,Kuwait
61,Korea DPR
62,El Salvador
63,Turkey
64,Gabon
65,Guinea
66,Thailand
67,Paraguay
68,Malawi
69,Israel
70,Peru
71,Zaire
72,Cyprus
73,Singapore
74,Mali
75,Malaysia
76,Bermuda
77,Niger
78,Syria
79,Bahrain
80,New Zealand
81,Madagascar
82,Malta
83,Jamaica
84,Lithuania
85,Trinidad and Tobago
86,Sierra Leone
87,Jordan
88,Kenya
89,Latvia
90,Yemen
91,Tanzania
92,Albania
93,Angola
94,Venezuela
95,Ethiopia
96,Burundi
97,Oman
98,Indonesia
99,Liberia
100,Mozambique
101,Puerto Rico
102,Swaziland
103,Hong Kong
104,Uganda
105,Barbados
106,Myanmar
107,Congo
108,Lebanon
109,South Africa
110,Luxembourg
111,Faroe Islands
112,Guatemala
113,Burkina Faso
114,Togo
115,Suriname
116,Fiji
117,Croatia
118,Estonia
119,San Marino
120,Bangladesh
121,St Vincent and the Grenadines
122,Netherlands Antilles
123,Mauritius
124,Benin
125,Panama
126,Sudan
127,Antigua and Barbuda
128,Slovenia
129,India
130,Belarus
131,Ukraine
132,Vietnam
133,Guinea-Bissau
134,Guyana
135,Botswana
136,St Lucia
137,Tahiti
138,Grenada
139,Haiti
140,Libya
141,Laos
142,Mauritania
143,Cape Verde Islands
144,Solomon Islands
145,Brunei Darussalam
146,Lesotho
148,Dominican Republic
149,Pakistan
150,Nicaragua
151,Cuba
152,Seychelles
153,Central African Republic
154,Gambia
155,Namibia
156,Cayman Islands
157,Nepal
158,Liechtenstein
159,Equatorial Guinea
160,Chinese Taipei
161,Sri Lanka
162,Philippines
163,Chad
164,Vanuatu
165,Aruba
166,Bahamas
167,Maldives
167,Macau
146,Slovakia
166,St Kitts and Nevis
67,Czech Republic
156,Georgia
147,FYR Macedonia
149,Moldova
159,Armenia
170,Azerbaijan
77,Uzbekistan
130,Turkmenistan
153,Kazakhstan
155,Tajikistan
165,Kyrgyz Republic
159,Somalia
169,Djibouti
166,Dominica
168,Rwanda
173,Belize
180,Cambodia
171,Bosnia and Herzegovina
182,Guam
179,Papua New Guinea
176,Tonga
177,Samoa
187,Andorra
188,Cook Islands
178,British Virgin Islands
192,Anguilla
194,São Tomé e Príncipe
189,Eritrea
192,American Samoa
184,Palestine
196,Mongolia
189,Turks and Caicos Islands
191,US Virgin Islands
202,Montserrat
59,Congo DR
200,Bhutan
19,Serbia and Montenegro
204,Afghanistan
186,New Caledonia
47,Serbia
198,Timor-Leste
207,Comoros
199,Montenegro
150,Curaçao
199,South Sudan
190,Kosovo
205,Gibraltar
