"FIFA Rank","country","Happiness Rank","country-2","Score","GDP per capita","Healthy life expectancy","Freedom to make life choices","Perceptions of corruption"
1,"Germany",17,"Germany","6.985","1.373","0.987","0.495","0.265"
2,"Italy",36,"Italy","6.223","1.294","1.039","0.231","0.030"
3,"Switzerland",6,"Switzerland","7.480","1.452","1.052","0.572","0.343"
4,"Sweden",7,"Sweden","7.343","1.387","1.009","0.574","0.373"
5,"Argentina",47,"Argentina","6.086","1.092","0.881","0.471","0.050"
7,"Russia",68,"Russia","5.648","1.183","0.726","0.334","0.031"
8,"Brazil",32,"Brazil","6.300","1.004","0.802","0.390","0.086"
9,"Norway",3,"Norway","7.554","1.488","1.028","0.603","0.341"
10,"Denmark",2,"Denmark","7.600","1.383","0.996","0.592","0.410"
12,"France",24,"France","6.592","1.324","1.045","0.436","0.183"
13,"Spain",30,"Spain","6.354","1.286","1.062","0.362","0.079"
14,"Mexico",23,"Mexico","6.595","1.070","0.861","0.433","0.073"
16,"Netherlands",5,"Netherlands","7.488","1.396","0.999","0.557","0.298"
17,"Nigeria",85,"Nigeria","5.265","0.696","0.245","0.426","0.041"
18,"Belgium",18,"Belgium","6.923","1.356","0.986","0.473","0.210"
19,"Colombia",43,"Colombia","6.125","0.985","0.841","0.470","0.034"
20,"Poland",40,"Poland","6.182","1.206","0.884","0.483","0.050"
21,"Romania",48,"Romania","6.070","1.162","0.825","0.462","0.005"
22,"Uruguay",33,"Uruguay","6.293","1.124","0.891","0.523","0.150"
23,"Portugal",66,"Portugal","5.693","1.221","0.999","0.508","0.025"
24,"Cameroon",96,"Cameroon","5.044","0.549","0.331","0.381","0.037"
25,"Zambia",138,"Zambia","4.107","0.578","0.426","0.431","0.087"
26,"Egypt",137,"Egypt","4.166","0.913","0.644","0.241","0.067"
31,"Tunisia",124,"Tunisia","4.461","0.921","0.815","0.167","0.055"
32,"Greece",82,"Greece","5.287","1.181","0.999","0.067","0.034"
33,"Morocco",89,"Morocco","5.208","0.801","0.782","0.418","0.076"
