Happiness Rank,Country or region,Score,GDP per capita,Healthy life expectancy,Freedom to make life choices,Perceptions of corruption
1,Finland,7.769,1.34,0.986,0.596,0.39299999999999996
2,Denmark,7.6,1.383,0.996,0.5920000000000001,0.41
3,Norway,7.553999999999999,1.4880000000000002,1.028,0.603,0.341
4,Iceland,7.494,1.38,1.026,0.591,0.11800000000000001
5,Netherlands,7.4879999999999995,1.396,0.9990000000000001,0.557,0.298
6,Switzerland,7.48,1.452,1.052,0.5720000000000001,0.34299999999999997
7,Sweden,7.343,1.3869999999999998,1.0090000000000001,0.574,0.373
8,New Zealand,7.307,1.3030000000000002,1.026,0.585,0.38
9,Canada,7.278,1.365,1.0390000000000001,0.584,0.308
10,Austria,7.246,1.376,1.016,0.532,0.226
11,Australia,7.228,1.3719999999999999,1.036,0.557,0.29
12,Costa Rica,7.167000000000001,1.034,0.963,0.5579999999999999,0.09300000000000001
13,Israel,7.138999999999999,1.276,1.0290000000000001,0.371,0.08199999999999999
14,Luxembourg,7.09,1.609,1.012,0.526,0.316
15,United Kingdom,7.053999999999999,1.3330000000000002,0.996,0.45,0.278
16,Ireland,7.021,1.499,0.9990000000000001,0.516,0.31
17,Germany,6.985,1.3730000000000002,0.987,0.495,0.265
18,Belgium,6.922999999999999,1.3559999999999999,0.986,0.473,0.21
19,United States,6.892,1.433,0.8740000000000001,0.45399999999999996,0.128
20,Czech Republic,6.852,1.2690000000000001,0.92,0.457,0.036000000000000004
21,United Arab Emirates,6.825,1.5030000000000001,0.825,0.598,0.182
22,Malta,6.726,1.3,0.9990000000000001,0.564,0.151
23,Mexico,6.595,1.07,0.861,0.433,0.073
24,France,6.5920000000000005,1.324,1.045,0.436,0.183
25,Taiwan,6.446000000000001,1.368,0.914,0.35100000000000003,0.09699999999999999
26,Chile,6.444,1.159,0.92,0.35700000000000004,0.055999999999999994
27,Guatemala,6.436,0.8,0.746,0.535,0.078
28,Saudi Arabia,6.375,1.403,0.795,0.439,0.132
29,Qatar,6.374,1.6840000000000002,0.871,0.555,0.16699999999999998
30,Spain,6.354,1.286,1.062,0.36200000000000004,0.079
31,Panama,6.321000000000001,1.149,0.91,0.516,0.054000000000000006
32,Brazil,6.3,1.004,0.802,0.39,0.086
33,Uruguay,6.292999999999999,1.124,0.8909999999999999,0.523,0.15
34,Singapore,6.2620000000000005,1.5719999999999998,1.141,0.556,0.45299999999999996
35,El Salvador,6.252999999999999,0.794,0.789,0.43,0.07400000000000001
36,Italy,6.223,1.294,1.0390000000000001,0.231,0.03
37,Bahrain,6.199,1.3619999999999999,0.871,0.536,0.11
38,Slovakia,6.1979999999999995,1.246,0.8809999999999999,0.33399999999999996,0.013999999999999999
39,Trinidad & Tobago,6.192,1.2309999999999999,0.713,0.489,0.016
40,Poland,6.182,1.206,0.884,0.483,0.05
41,Uzbekistan,6.1739999999999995,0.745,0.7559999999999999,0.631,0.24
42,Lithuania,6.149,1.238,0.818,0.29100000000000004,0.042
43,Colombia,6.125,0.985,0.841,0.47,0.034
44,Slovenia,6.117999999999999,1.258,0.953,0.564,0.057
45,Nicaragua,6.105,0.6940000000000001,0.835,0.435,0.127
46,Kosovo,6.1,0.882,0.758,0.489,0.006
47,Argentina,6.086,1.092,0.8809999999999999,0.47100000000000003,0.05
48,Romania,6.07,1.162,0.825,0.462,0.005
49,Cyprus,6.046,1.263,1.042,0.406,0.040999999999999995
50,Ecuador,6.028,0.912,0.868,0.498,0.087
51,Kuwait,6.021,1.5,0.8079999999999999,0.493,0.09699999999999999
52,Thailand,6.007999999999999,1.05,0.828,0.557,0.027999999999999997
53,Latvia,5.94,1.187,0.812,0.264,0.064
54,South Korea,5.895,1.301,1.036,0.159,0.055999999999999994
55,Estonia,5.893,1.237,0.8740000000000001,0.495,0.161
56,Jamaica,5.89,0.831,0.831,0.49,0.027999999999999997
57,Mauritius,5.888,1.12,0.7979999999999999,0.498,0.06
58,Japan,5.886,1.327,1.088,0.445,0.14
59,Honduras,5.86,0.642,0.828,0.507,0.078
60,Kazakhstan,5.809,1.173,0.7290000000000001,0.41,0.096
61,Bolivia,5.779,0.7759999999999999,0.706,0.511,0.064
62,Hungary,5.757999999999999,1.2009999999999998,0.828,0.19899999999999998,0.02
63,Paraguay,5.742999999999999,0.855,0.777,0.514,0.08
64,Northern Cyprus,5.718,1.263,1.042,0.41700000000000004,0.162
65,Peru,5.697,0.96,0.8540000000000001,0.455,0.027000000000000003
66,Portugal,5.693,1.2209999999999999,0.9990000000000001,0.508,0.025
67,Pakistan,5.653,0.677,0.535,0.313,0.098
68,Russia,5.648,1.183,0.726,0.33399999999999996,0.031
69,Philippines,5.631,0.807,0.657,0.5579999999999999,0.107
70,Serbia,5.603,1.004,0.8540000000000001,0.282,0.039
71,Moldova,5.529,0.685,0.7390000000000001,0.245,0.0
72,Libya,5.525,1.044,0.6729999999999999,0.41600000000000004,0.152
73,Montenegro,5.523,1.051,0.871,0.19699999999999998,0.08
74,Tajikistan,5.4670000000000005,0.493,0.718,0.389,0.14400000000000002
75,Croatia,5.432,1.155,0.914,0.29600000000000004,0.022000000000000002
76,Hong Kong,5.43,1.4380000000000002,1.122,0.44,0.287
77,Dominican Republic,5.425,1.015,0.779,0.49700000000000005,0.10099999999999999
78,Bosnia and Herzegovina,5.386,0.945,0.845,0.212,0.006
79,Turkey,5.372999999999999,1.183,0.8079999999999999,0.195,0.106
80,Malaysia,5.3389999999999995,1.2209999999999999,0.828,0.508,0.024
81,Belarus,5.3229999999999995,1.067,0.789,0.235,0.142
82,Greece,5.287000000000001,1.181,0.9990000000000001,0.067,0.034
83,Mongolia,5.285,0.948,0.667,0.317,0.038
84,North Macedonia,5.274,0.983,0.838,0.345,0.034
85,Nigeria,5.265,0.696,0.245,0.426,0.040999999999999995
86,Kyrgyzstan,5.261,0.551,0.723,0.508,0.023
87,Turkmenistan,5.247000000000001,1.052,0.657,0.39399999999999996,0.027999999999999997
88,Algeria,5.211,1.002,0.785,0.086,0.114
89,Morocco,5.207999999999999,0.8009999999999999,0.782,0.418,0.076
90,Azerbaijan,5.207999999999999,1.043,0.769,0.35100000000000003,0.182
91,Lebanon,5.197,0.987,0.815,0.21600000000000003,0.027000000000000003
92,Indonesia,5.192,0.9309999999999999,0.66,0.491,0.027999999999999997
93,China,5.191,1.0290000000000001,0.893,0.521,0.1
94,Vietnam,5.175,0.741,0.851,0.5429999999999999,0.073
95,Bhutan,5.082,0.813,0.604,0.457,0.16699999999999998
96,Cameroon,5.044,0.5489999999999999,0.331,0.381,0.037000000000000005
97,Bulgaria,5.011,1.092,0.815,0.311,0.004
98,Ghana,4.996,0.611,0.486,0.381,0.04
99,Ivory Coast,4.944,0.569,0.23199999999999998,0.35200000000000004,0.09
100,Nepal,4.913,0.446,0.677,0.439,0.08900000000000001
101,Jordan,4.906000000000001,0.8370000000000001,0.815,0.38299999999999995,0.13
102,Benin,4.883,0.39299999999999996,0.397,0.349,0.08199999999999999
103,Congo (Brazzaville),4.812,0.6729999999999999,0.508,0.37200000000000005,0.09300000000000001
104,Gabon,4.7989999999999995,1.057,0.5710000000000001,0.295,0.055
105,Laos,4.796,0.764,0.551,0.547,0.16399999999999998
106,South Africa,4.7219999999999995,0.96,0.469,0.389,0.055
107,Albania,4.718999999999999,0.9470000000000001,0.8740000000000001,0.38299999999999995,0.027000000000000003
108,Venezuela,4.707,0.96,0.805,0.154,0.047
109,Cambodia,4.7,0.574,0.637,0.609,0.062
110,Palestinian Territories,4.696000000000001,0.657,0.672,0.225,0.066
111,Senegal,4.681,0.45,0.5710000000000001,0.292,0.07200000000000001
112,Somalia,4.668,0.0,0.268,0.5589999999999999,0.27
113,Namibia,4.638999999999999,0.879,0.47700000000000004,0.401,0.055999999999999994
114,Niger,4.628,0.138,0.366,0.318,0.102
115,Burkina Faso,4.587,0.331,0.38,0.255,0.113
116,Armenia,4.559,0.85,0.815,0.28300000000000003,0.064
117,Iran,4.548,1.1,0.785,0.305,0.125
118,Guinea,4.534,0.38,0.375,0.332,0.086
119,Georgia,4.519,0.8859999999999999,0.752,0.34600000000000003,0.16399999999999998
120,Gambia,4.516,0.308,0.428,0.382,0.16699999999999998
121,Kenya,4.5089999999999995,0.512,0.581,0.431,0.053
122,Mauritania,4.49,0.57,0.489,0.066,0.08800000000000001
123,Mozambique,4.466,0.204,0.39,0.494,0.138
124,Tunisia,4.461,0.9209999999999999,0.815,0.16699999999999998,0.055
125,Bangladesh,4.456,0.562,0.723,0.527,0.14300000000000002
126,Iraq,4.437,1.043,0.574,0.24100000000000002,0.08900000000000001
127,Congo (Kinshasa),4.418,0.094,0.35700000000000004,0.26899999999999996,0.053
128,Mali,4.39,0.385,0.308,0.327,0.052000000000000005
129,Sierra Leone,4.374,0.268,0.242,0.309,0.045
130,Sri Lanka,4.3660000000000005,0.9490000000000001,0.831,0.47,0.047
131,Myanmar,4.36,0.71,0.555,0.525,0.172
132,Chad,4.35,0.35,0.192,0.174,0.078
